"signature"	"gene"	"rho.x"	"p.value.x"	"q.value.x"	"rho.y"	"p.value.y"	"q.value.y"
"1"	"BRD4..23476."	"-0.0767820448985319"	"0.0127277806339757"	0.0189671380427944	"-0.0987693910970561"	"0.00225692318144568"	0.0172238874373486
"1"	"CLPSL1..340204."	"-0.0762125995114493"	"0.013083188776818"	0.0189671380427944	"-0.106504604958668"	"0.0182287848945091"	0.0330476078719289
"1"	"RPL10..6134."	"-0.076130210333306"	"0.0132640767619947"	0.0189671380427944	"-0.154993438061381"	"0.0011667931485763"	0.0134273814717114
"1"	"SCRT2..85508."	"-0.0765424646851689"	"0.0127626612015788"	0.0189671380427944	"-0.0949768320300837"	"0.00842474266932959"	0.0263841833056758
"1"	"ZIC3..7547."	"-0.0765723458561128"	"0.012831458282746"	0.0189671380427944	"-0.0734573440174358"	"0.0180975006193314"	0.0329544970892272
"1"	"ASNSD1..54529."	"-0.0751680264613375"	"0.0141445076976338"	0.0189874641375845	"-0.107346645043712"	"0.00393387747632626"	0.0204448829414806
"1"	"SLC23A1..9963."	"-0.0755803579284869"	"0.0137170168317132"	0.0189874641375845	"-0.12923077145077"	"0.000573112737579742"	0.0103131424635281
"1"	"MED19..219541."	"-0.0746985957786369"	"0.0148605187187843"	0.019124852222502	"-0.109173838610083"	"0.000847705064727895"	0.0119428924160581
"1"	"TSPAN4..7106."	"-0.0746182511718049"	"0.0147323173660827"	0.019124852222502	"-0.0801806349209848"	"0.0163415817074733"	0.0319174015273674
"1"	"KIF20A..10112."	"-0.0741509421757023"	"0.0152483590387046"	0.0191571596068817	"-0.0841359228822412"	"0.00770978062158726"	0.0254236524518886
"1"	"DOCK9..23348."	"-0.073876054530936"	"0.0155591071326556"	0.0192154973088297	"-0.135987618892059"	"0.00014582178149188"	0.00677273357826974
"1"	"CYB5R4..51167."	"-0.0737935882375061"	"0.0156533849609653"	0.0192653978674175	"-0.0916156951172314"	"0.0105721788298194"	0.0281619144843334
"1"	"MED24..9862."	"-0.0730318364827208"	"0.0167814493095864"	0.0197799860829155	"-0.0805543219215884"	"0.0102763242349713"	0.0279623298166733
"1"	"CCNI2..645121."	"-0.0717319309017591"	"0.0181747356971579"	0.020173712323466	"-0.117059966830692"	"0.00464517903620609"	0.021173857134513
"1"	"MYC..4609."	"-0.0721428981915656"	"0.0178901457116887"	0.020173712323466	"-0.074812932117481"	"0.0157370680716961"	0.0316940788656552
"1"	"TAF1C..9013."	"-0.0708928287196286"	"0.019554534313273"	0.0204227060269701	"-0.0703614469918419"	"0.0383169735976722"	0.0469650141307056
"1"	"KCTD4..386618."	"-0.0702750263844978"	"0.0201584730278077"	0.0204482252068522	"-0.074812932117481"	"0.0157370680716961"	0.0316940788656552
"11"	"ARF4..378."	"-0.110046463660548"	"0.000748101444060642"	0.0168153458017366	"-0.0925741930169207"	"0.00438624408954289"	0.0283964561931037
"11"	"BRF2..55290."	"-0.132167195849529"	"6.84457183363248e-05"	0.0168153458017366	"-0.089753993397146"	"0.0131060326909574"	0.0354840196757088
"11"	"UBAP1..51271."	"-0.116955709986577"	"0.000369364115643976"	0.0168153458017366	"-0.12152085622872"	"0.0013068100083605"	0.0226862317025257
"11"	"ENKUR..219670."	"-0.102162122086893"	"0.00159962874820252"	0.0182212354607238	"-0.0991656292268746"	"0.0272803707328556"	0.0414750631525419
"11"	"ATP6V0D1..9114."	"-0.0924111696106422"	"0.00383173250434859"	0.0193969682575234	"-0.0747277630418935"	"0.0320933412236534"	0.0450100352713013
"11"	"CHST4..10164."	"-0.0929962267592172"	"0.00364356113082276"	0.0193969682575234	"-0.0765880219871972"	"0.0150708435869297"	0.0367303175887994
"11"	"DHX8..1659."	"-0.0927176281170386"	"0.00373210712725578"	0.0193969682575234	"-0.0801834247652577"	"0.0116034847949137"	0.0343686864367543
"11"	"TMEM11..8834."	"-0.0929683668949994"	"0.00365233011611862"	0.0193969682575234	"-0.0970972181199019"	"0.00298058086071037"	0.0264810494221972
"11"	"SAP30BP..29115."	"-0.0900988008805598"	"0.00466357837662284"	0.0194217530796289	"-0.0959022421627672"	"0.0383207177444898"	0.048371383855271
"11"	"TFIP11..24144."	"-0.0892351450898061"	"0.00501340939406731"	0.0194217530796289	"-0.0976200737173454"	"0.00780550567375943"	0.0319264602985556
"11"	"ATAD5..79915."	"-0.0816015422941124"	"0.00927049174085358"	0.0201163285989154	"-0.0802880929399472"	"0.0172540585697087"	0.0379374952402291
"11"	"BRAP..8315."	"-0.0834402933324912"	"0.00802687867669991"	0.0201163285989154	"-0.0704832232437303"	"0.0233145084396525"	0.0390365757725573
"11"	"CYGB..114757."	"-0.083273134147184"	"0.00813353592081933"	0.0201163285989154	"-0.0797674277496144"	"0.0119655639216631"	0.0344561632390233
"11"	"LAMA3..3909."	"-0.0813786633803695"	"0.00943213747583998"	0.0201163285989154	"-0.137842709253257"	"4.73330371615534e-05"	0.00957479723153709
"11"	"RBM28..55131."	"-0.0822980388995589"	"0.00878087019731427"	0.0201163285989154	"-0.137789602036495"	"0.000146078614420199"	0.0137898212012668
"11"	"SUPT5H..6829."	"-0.0826026375478384"	"0.00872809533163451"	0.0201163285989154	"-0.0856706440301553"	"0.00750140669859397"	0.0319264602985556
"11"	"TFAP4..7023."	"-0.0821587395784696"	"0.0088769403406871"	0.0201163285989154	"-0.108777808446046"	"0.00102138306962525"	0.021147856855004
"11"	"WAC..51322."	"-0.0819831529642173"	"0.00915893319407711"	0.0201163285989154	"-0.111586374705796"	"0.0152652812542343"	0.036823915257233
"11"	"CRNKL1..51340."	"-0.0791777341071586"	"0.0111653921709518"	0.0205113938126351	"-0.103771751916476"	"0.00508123274422148"	0.0284910320932443
"11"	"FLOT2..2319."	"-0.0782026388595335"	"0.0120178772273418"	0.0205113938126351	"-0.0810633992376213"	"0.0159735117344132"	0.0374478354568362
"11"	"HYAL3..8372."	"-0.0784533776374942"	"0.0117934437819336"	0.0205113938126351	"-0.0936366099654496"	"0.0101915209602912"	0.0333471385857481
"11"	"PLCXD2..257068."	"-0.0786483966870192"	"0.0116214075860902"	0.0205113938126351	"-0.114663247744444"	"0.00225556565622798"	0.0254554542172288
"11"	"SPATA12..353324."	"-0.077506142254087"	"0.0126608385527781"	0.0205113938126351	"-0.0975208454060207"	"0.0358990014110902"	0.0471549035232873
"11"	"STIL..6491."	"-0.0773947027972155"	"0.0127664276842127"	0.0205113938126351	"-0.0871275990651398"	"0.00695644550475291"	0.0317953915580866
"11"	"PDGFRA..5156."	"-0.076698206191769"	"0.0134437751441621"	0.0206049452677464	"-0.0785174238090585"	"0.0130058988900851"	0.0353480860429184
"11"	"PITX1..5307."	"-0.0764474674138083"	"0.0136951046493086"	0.0206049452677464	"-0.0755068594799971"	"0.0162403155795491"	0.0374640213160284
"11"	"SHCBP1..79801."	"-0.0756673912157082"	"0.0145031085446855"	0.0206209389927387	"-0.0983409641534833"	"0.00486687541497281"	0.0284573527896636
"11"	"ADA..100."	"-0.074915174881826"	"0.0153207838810816"	0.0206533605201644	"-0.0842073982995696"	"0.0185040108568151"	0.0383546548723574
"11"	"GNL2..29889."	"-0.0749708946102617"	"0.0152588861168157"	0.0206533605201644	"-0.087518171060949"	"0.00674565054667626"	0.0317953915580866
"11"	"CORO6..84940."	"-0.0746922959680831"	"0.0155705358903092"	0.0207015253689037	"-0.0793675838585221"	"0.0122949350059754"	0.0346805338017155
"11"	"C6..729."	"-0.0741908184121616"	"0.0161452812160265"	0.0208716426676909	"-0.0742703243286128"	"0.0177499831354021"	0.0380421242627018
"11"	"SPC25..57405."	"-0.0742743980048152"	"0.016048246404719"	0.0208716426676909	"-0.125846402162956"	"0.0100806176237705"	0.0333471385857481
"11"	"GATA5..140628."	"-0.0732157231645365"	"0.0173150033762732"	0.0210753323923325	"-0.0987151718196675"	"0.00271185058921847"	0.0261223158798187
"11"	"JADE3..9767."	"-0.0732932029197871"	"0.0175956411076884"	0.0211878488180154	"-0.0788627199013303"	"0.0127584180920039"	0.0348531839380381
"11"	"MCAT..27349."	"-0.0728814047939222"	"0.0177323747349446"	0.0212084481941521	"-0.113059436541254"	"0.0184320922166752"	0.0383546548723574
"11"	"MMACHC..25974."	"-0.0729092646581401"	"0.0176972689328062"	0.0212084481941521	"-0.108514577436816"	"0.0177071015340231"	0.0380421242627018
"11"	"PLA2G3..50487."	"-0.0725470864233079"	"0.0181582998901906"	0.0214517170271369	"-0.0789129211609739"	"0.0253186786051931"	0.0403334485528556
"11"	"KBTBD6..89890."	"-0.0706247557922755"	"0.0207801932700006"	0.0216043076172845	"-0.0766513926224588"	"0.021094794463654"	0.0388610020764625
"11"	"STARD9..57519."	"-0.0713491122619399"	"0.0197568458366296"	0.0216043076172845	"-0.0826574435301014"	"0.0354910428943525"	0.0468799596440328
"13"	"ARHGAP23..57636."	"-0.127794383394962"	"0.000570777341708092"	0.0244407616418344	"-0.0933897178461534"	"0.00950094642770486"	0.041855944680185
"13"	"CD209..30835."	"-0.124960440777494"	"0.000733952981565374"	0.0244407616418344	"-0.161662972353395"	"0.000183636372052084"	0.0184358855846442
"13"	"KAT6B..23522."	"-0.11937245797008"	"0.00121580424271"	0.0244407616418344	"-0.0971045724875822"	"0.00736820651325863"	0.0399066097943602
"13"	"NUP98..4928."	"-0.120853277563772"	"0.00104756884771259"	0.0244407616418344	"-0.0946855973722332"	"0.00870246882380933"	0.0410948195383535
"13"	"PIK3CA..5290."	"-0.118347908003402"	"0.0012949806631686"	0.0244407616418344	"-0.119713339960577"	"0.00129043177009633"	0.0295068400691627
"13"	"CHD4..1108."	"-0.114361506568734"	"0.00183943224644138"	0.0256890434849432	"-0.169846609884864"	"9.96302845312594e-06"	0.00740049957516454
"13"	"DCDC2..51473."	"-0.112803237664877"	"0.002042743216875"	0.0256890434849432	"-0.1449403288308"	"0.00605780886281653"	0.0392546014310511
"13"	"HECTD1..25831."	"-0.113090739089837"	"0.00199593687610074"	0.0256890434849432	"-0.126952997571621"	"0.000715214491285042"	0.0254717719965411
"13"	"CHAF1A..10036."	"-0.110841416741342"	"0.00243840438715126"	0.026284099238124	"-0.100603447207998"	"0.00575752313835735"	0.0388632811839121
"13"	"CDC37..11140."	"-0.11009250994382"	"0.002535558748503"	0.0268995898112845	"-0.0852256768318504"	"0.0161590885597697"	0.048723343170067
"13"	"LAX1..54900."	"-0.107833570176273"	"0.00302574492755506"	0.0288663021824218	"-0.146639967395532"	"0.000313908449819227"	0.0213992497617794
"13"	"MLC1..23209."	"-0.103397833905453"	"0.00424339920672181"	0.0293934399709949	"-0.100479532861292"	"0.0134055971526135"	0.0455060916951635
"13"	"CERS5..91012."	"-0.0971138741884584"	"0.00671607792463316"	0.0304730163687439	"-0.0957119921216478"	"0.0174639214804435"	0.0499529824689411
"13"	"ADRA1D..146."	"-0.0967031578670862"	"0.00691505596119476"	0.0307820690100498	"-0.105959749249128"	"0.00389323100731126"	0.0369584134688002
"13"	"SCAPER..49855."	"-0.095183507478009"	"0.0076972645400294"	0.0311846885003569	"-0.122999393869884"	"0.0166277429479539"	0.0495517105531283
"13"	"STK39..27347."	"-0.0952656507422835"	"0.00765307182370223"	0.0311846885003569	"-0.0942766845575834"	"0.00908388986527226"	0.0412488101050727
"13"	"TYMS..7298."	"-0.0946906478923624"	"0.00796716784067656"	0.0311846885003569	"-0.111272855306055"	"0.00259794961783174"	0.0355629689013466
"13"	"OXSR1..9943."	"-0.0925138513890897"	"0.00926124722796543"	0.0313748375478013	"-0.115290081836903"	"0.0018926299814229"	0.0337266662689561
"13"	"HOXB3..3213."	"-0.0907888428393264"	"0.0104138606854033"	0.0333684884635037	"-0.100776231144808"	"0.00568677907099305"	0.0388632811839121
"13"	"ZIC5..85416."	"-0.0906245563107775"	"0.0105298932767141"	0.0333684884635037	"-0.113475850500391"	"0.00218624024872569"	0.03417438704587
"13"	"ATRAID..51374."	"-0.0889816910252887"	"0.0117535587490172"	0.0334866117461239	"-0.133565658967856"	"0.0145027454562341"	0.0474199860605673
"13"	"FBRSL1..57666."	"-0.0885709747039165"	"0.0120781061883661"	0.0334866117461239	"-0.137124246684584"	"0.0124941193000102"	0.0444401608635093
"13"	"MAF1..84232."	"-0.0870513243148393"	"0.0133474008837962"	0.0338418438136929	"-0.151358597551496"	"0.00667534555800462"	0.0395435190524688
"13"	"KBTBD3..143879."	"-0.0866816796256043"	"0.0136730272954167"	0.0338660444722193	"-0.104810378781715"	"0.00818736822154119"	0.0404739730551423
"13"	"FOXK2..3607."	"-0.0829852327332545"	"0.0173240789774361"	0.03450213331475	"-0.13408033496506"	"0.000379342843140129"	0.0233099636715762
"13"	"INSL4..3641."	"-0.0818352270334123"	"0.0186177536757016"	0.0351850637380056	"-0.116016344323273"	"0.00342888184350592"	0.0366073489870381
"13"	"ADCYAP1..116."	"-0.0798637886908257"	"0.0210268616240311"	0.0352035781502642	"-0.110014614340581"	"0.00766729263842973"	0.0402437799300312
"13"	"CAMK2G..818."	"-0.0794530723694535"	"0.0215606563365047"	0.0352507590715887	"-0.105441397438696"	"0.00404640262064066"	0.0369584134688002
"13"	"ZBTB44..29068."	"-0.0766191297519853"	"0.0255646431964395"	0.0355098188282124	"-0.134138733153875"	"0.000893502701855532"	0.0254717719965411
"13"	"CDK4..1019."	"-0.0733333991810076"	"0.0309680773899388"	0.0362709940173332	"-0.123182671100758"	"0.000964231440742596"	0.0254717719965411
